TYPE,AREA,CAR_NAME,LAP TIME,LINK
A,Metropolitan (메트로폴리탄),PAGANI IMOLA,0:54.314,https://youtu.be/NR2MLJtLPlk?si=bkV9eQQkSCeuW7-M&t=21
A,Metropolitan (메트로폴리탄),JAGUAR XJR-9,0:54.724,https://youtu.be/yu8cRYJuE9o
A,Metropolitan (메트로폴리탄),ASTON MARTIN VALHALLA CONCEPT CAR,0:54.920,https://youtu.be/wiXJY-YoX5w?t=16
A,Metropolitan (메트로폴리탄),LAMBORGHINI COUNTACH LPI 800-4,0:55.293,https://youtu.be/n391gBLLB3Y?t=12
B,Wildlands (황무지),MCLAREN F1 LM,1:05.799,https://youtu.be/ICX6ZDUP4F8?si=BCt01N0orSwNYOHo&t=5
B,Wildlands (황무지),VOLKSWAGEN W12 COUPE,1:08.893,https://youtu.be/kX9jd9Iq3Gs?t=9
C,Dam Buster (댐 파괴),LAMBORGHINI GALLARDO LP 560-4,1:20.381,https://youtu.be/rpwLrrB1T8I
C,Dam Buster (댐 파괴),MCLAREN GT,1:20.860,https://youtu.be/UrAiTJKOS2I?t=21
C,Dam Buster (댐 파괴),PORSCHE PANAMERA TURBO S,1:20.782,https://youtu.be/R6RJt4pqhI4
S,Frozen Route (얼어붙은 길),HENNESSEY VENOM F5,0:59.992,https://streamable.com/7vslu0
S,Frozen Route (얼어붙은 길),BUGATTI BOLIDE,1:01.662,https://youtu.be/Ko1CgpaxpDs?t=11
